Source,Target,Type,Id,Weight
174,0,Directed,0,40537
133,0,Directed,1,8107
186,0,Directed,2,2027
72,1,Directed,3,40087
92,1,Directed,4,11287
60,1,Directed,5,3011
181,1,Directed,6,2489
34,1,Directed,7,1151
144,1,Directed,8,678
181,2,Directed,9,1586121
92,2,Directed,10,486516
158,2,Directed,11,428334
72,2,Directed,12,337546
139,2,Directed,13,248610
11,2,Directed,14,189349
149,2,Directed,15,176920
46,2,Directed,16,150313
57,2,Directed,17,142457
79,2,Directed,18,116092
23,2,Directed,19,108349
141,2,Directed,20,103961
60,2,Directed,21,99835
86,2,Directed,22,95723
140,2,Directed,23,92782
66,2,Directed,24,89386
150,2,Directed,25,77318
116,2,Directed,26,72631
189,2,Directed,27,69594
82,2,Directed,28,50833
104,2,Directed,29,45648
164,2,Directed,30,38618
144,2,Directed,31,35938
0,2,Directed,32,33279
170,2,Directed,33,33253
83,2,Directed,34,31877
143,2,Directed,35,27873
179,2,Directed,36,27234
27,2,Directed,37,27077
57,3,Directed,38,27103
66,3,Directed,39,4135
140,3,Directed,40,3957
141,3,Directed,41,1043
2,3,Directed,42,347
116,3,Directed,43,296
17,3,Directed,44,241
79,3,Directed,45,190
63,3,Directed,46,146
92,3,Directed,47,109
60,3,Directed,48,100
8,3,Directed,49,86
48,3,Directed,50,84
185,3,Directed,51,78
37,3,Directed,52,68
170,3,Directed,53,64
169,3,Directed,54,54
10,3,Directed,55,36
146,4,Directed,56,12178
140,4,Directed,57,5298
31,4,Directed,58,3569
156,4,Directed,59,3112
166,4,Directed,60,2437
145,4,Directed,61,410
124,4,Directed,62,345
74,4,Directed,63,131
192,4,Directed,64,119
123,4,Directed,65,97
148,4,Directed,66,46
36,4,Directed,67,12
44,4,Directed,68,5
49,5,Directed,69,2442
77,5,Directed,70,1660
60,5,Directed,71,1308
141,5,Directed,72,623
147,5,Directed,73,621
154,5,Directed,74,478
152,5,Directed,75,469
155,5,Directed,76,392
93,5,Directed,77,386
178,5,Directed,78,356
34,5,Directed,79,218
15,5,Directed,80,204
162,5,Directed,81,142
71,5,Directed,82,115
38,5,Directed,83,57
92,5,Directed,84,49
104,5,Directed,85,46
2,5,Directed,86,45
129,5,Directed,87,35
66,5,Directed,88,32
83,5,Directed,89,32
166,5,Directed,90,19
79,5,Directed,91,17
51,5,Directed,92,12
47,5,Directed,93,12
188,5,Directed,94,11
78,5,Directed,95,11
70,5,Directed,96,10
171,5,Directed,97,9
18,5,Directed,98,8
83,6,Directed,99,906468
84,6,Directed,100,635007
133,6,Directed,101,556715
14,6,Directed,102,479380
51,6,Directed,103,357540
162,6,Directed,104,305838
190,6,Directed,105,286032
63,6,Directed,106,239551
164,6,Directed,107,200579
167,6,Directed,108,178769
126,6,Directed,109,177661
0,6,Directed,110,166255
95,6,Directed,111,90278
21,6,Directed,112,89529
62,6,Directed,113,61017
104,6,Directed,114,57203
85,6,Directed,115,42857
58,7,Directed,116,36004
167,7,Directed,117,9127
2,7,Directed,118,6544
150,7,Directed,119,6287
60,7,Directed,120,4509
162,7,Directed,121,3550
92,7,Directed,122,3143
6,7,Directed,123,3068
190,7,Directed,124,2593
95,7,Directed,125,2286
66,7,Directed,126,2086
141,7,Directed,127,2060
106,7,Directed,128,1982
111,7,Directed,129,1651
104,7,Directed,130,1564
100,7,Directed,131,1420
84,7,Directed,132,1000
163,7,Directed,133,926
85,7,Directed,134,918
92,8,Directed,135,336040
137,8,Directed,136,257243
57,8,Directed,137,229535
37,8,Directed,138,223528
22,8,Directed,139,147234
185,8,Directed,140,136906
25,8,Directed,141,34359
139,8,Directed,142,29520
138,8,Directed,143,16366
2,8,Directed,144,15674
140,8,Directed,145,13551
144,8,Directed,146,13164
43,8,Directed,147,10229
60,8,Directed,148,9992
66,8,Directed,149,6463
94,8,Directed,150,5812
150,8,Directed,151,5016
162,8,Directed,152,4931
38,8,Directed,153,4268
11,8,Directed,154,4256
143,8,Directed,155,3946
149,8,Directed,156,3713
183,8,Directed,157,3583
82,8,Directed,158,3297
104,8,Directed,159,3248
72,8,Directed,160,3197
40,8,Directed,161,2702
181,8,Directed,162,2498
141,8,Directed,163,2391
119,8,Directed,164,2332
12,9,Directed,165,464459
150,9,Directed,166,62218
183,9,Directed,167,10066
86,9,Directed,168,9654
72,9,Directed,169,5612
162,9,Directed,170,3225
181,9,Directed,171,1956
69,9,Directed,172,1646
20,9,Directed,173,1280
186,9,Directed,174,1150
104,9,Directed,175,1129
180,9,Directed,176,820
96,9,Directed,177,787
2,9,Directed,178,660
141,10,Directed,179,1111203
131,10,Directed,180,298309
92,10,Directed,181,271095
72,10,Directed,182,148090
189,10,Directed,183,136918
2,10,Directed,184,126452
79,10,Directed,185,104866
38,10,Directed,186,97526
63,10,Directed,187,90580
104,10,Directed,188,81858
139,10,Directed,189,74954
111,10,Directed,190,72135
83,10,Directed,191,69928
166,10,Directed,192,58684
81,10,Directed,193,57852
115,10,Directed,194,57407
60,10,Directed,195,53575
87,10,Directed,196,51999
46,10,Directed,197,48565
164,10,Directed,198,46660
158,10,Directed,199,44312
144,10,Directed,200,40724
51,10,Directed,201,40628
84,10,Directed,202,39102
65,10,Directed,203,37472
181,10,Directed,204,33246
37,10,Directed,205,29145
82,10,Directed,206,29103
34,10,Directed,207,27452
161,10,Directed,208,27151
158,11,Directed,209,107506
2,11,Directed,210,100832
23,11,Directed,211,92349
181,11,Directed,212,88108
46,11,Directed,213,43774
139,11,Directed,214,33851
143,11,Directed,215,30293
149,11,Directed,216,24968
92,11,Directed,217,18566
150,11,Directed,218,17059
55,11,Directed,219,14965
82,11,Directed,220,14405
56,11,Directed,221,12724
144,11,Directed,222,12075
38,11,Directed,223,9703
170,11,Directed,224,8704
27,11,Directed,225,8666
86,11,Directed,226,8535
51,11,Directed,227,8202
63,11,Directed,228,7633
83,11,Directed,229,7478
60,11,Directed,230,6088
141,11,Directed,231,6067
66,11,Directed,232,4939
0,11,Directed,233,4748
129,11,Directed,234,4673
79,11,Directed,235,4668
183,11,Directed,236,4534
172,11,Directed,237,3088
9,12,Directed,238,202586
69,12,Directed,239,69766
150,12,Directed,240,39234
186,12,Directed,241,23232
96,12,Directed,242,4940
183,12,Directed,243,3842
98,12,Directed,244,3487
181,12,Directed,245,2894
180,12,Directed,246,2352
86,12,Directed,247,2088
61,12,Directed,248,662
20,12,Directed,249,626
2,12,Directed,250,389
120,12,Directed,251,386
174,12,Directed,252,340
0,12,Directed,253,254
78,13,Directed,254,10894
60,13,Directed,255,4247
93,13,Directed,256,2792
141,13,Directed,257,1964
34,13,Directed,258,730
77,13,Directed,259,419
178,13,Directed,260,278
15,13,Directed,261,234
2,13,Directed,262,161
83,13,Directed,263,160
170,13,Directed,264,85
92,13,Directed,265,78
72,13,Directed,266,72
38,13,Directed,267,67
63,13,Directed,268,64
87,13,Directed,269,55
47,13,Directed,270,48
81,13,Directed,271,46
147,13,Directed,272,44
138,13,Directed,273,43
66,13,Directed,274,38
25,13,Directed,275,36
79,13,Directed,276,36
49,13,Directed,277,35
57,13,Directed,278,32
18,13,Directed,279,31
129,13,Directed,280,30
71,13,Directed,281,28
40,13,Directed,282,28
10,13,Directed,283,27
21,14,Directed,284,225851
38,14,Directed,285,140163
111,14,Directed,286,92533
84,14,Directed,287,70627
101,14,Directed,288,58722
189,14,Directed,289,40088
60,14,Directed,290,28559
172,14,Directed,291,15503
83,14,Directed,292,13339
32,14,Directed,293,12924
161,14,Directed,294,10556
126,14,Directed,295,9670
141,14,Directed,296,9090
94,14,Directed,297,9042
130,14,Directed,298,4240
25,14,Directed,299,552
16,14,Directed,300,89
5,14,Directed,301,72
154,15,Directed,302,3676
155,15,Directed,303,3317
141,15,Directed,304,2988
77,15,Directed,305,2557
178,15,Directed,306,1750
60,15,Directed,307,1112
34,15,Directed,308,668
93,15,Directed,309,622
71,15,Directed,310,565
49,15,Directed,311,451
83,15,Directed,312,441
5,15,Directed,313,226
13,15,Directed,314,55
10,15,Directed,315,24
78,15,Directed,316,0
38,15,Directed,317,0
18,15,Directed,318,0
47,15,Directed,319,0
171,15,Directed,320,0
152,15,Directed,321,0
83,16,Directed,322,60505
51,16,Directed,323,21908
133,16,Directed,324,20949
14,16,Directed,325,20442
63,16,Directed,326,7934
84,16,Directed,327,6151
190,16,Directed,328,5876
164,16,Directed,329,5863
167,16,Directed,330,4235
95,16,Directed,331,3442
162,16,Directed,332,1777
100,16,Directed,333,1728
141,16,Directed,334,1614
58,16,Directed,335,1531
181,16,Directed,336,1291
53,16,Directed,337,771
104,16,Directed,338,728
168,16,Directed,339,522
54,16,Directed,340,508
60,16,Directed,341,453
62,16,Directed,342,357
163,16,Directed,343,340
172,16,Directed,344,294
116,16,Directed,345,257
126,16,Directed,346,228
0,16,Directed,347,215
129,16,Directed,348,187
79,16,Directed,349,174
179,16,Directed,350,155
36,16,Directed,351,140
92,17,Directed,352,242108
116,17,Directed,353,135422
66,17,Directed,354,90212
181,17,Directed,355,80005
79,17,Directed,356,61047
57,17,Directed,357,51265
2,17,Directed,358,26386
141,17,Directed,359,21480
72,17,Directed,360,20270
140,17,Directed,361,14810
60,17,Directed,362,11241
146,17,Directed,363,10944
7,17,Directed,364,10413
179,17,Directed,365,6112
158,17,Directed,366,5417
109,17,Directed,367,4600
139,17,Directed,368,4588
63,17,Directed,369,3007
94,17,Directed,370,2808
38,17,Directed,371,2683
83,17,Directed,372,2419
170,17,Directed,373,2347
48,17,Directed,374,2320
183,17,Directed,375,2298
149,17,Directed,376,2261
87,17,Directed,377,1972
23,17,Directed,378,1966
169,17,Directed,379,1812
172,17,Directed,380,1723
91,17,Directed,381,1692
73,18,Directed,382,12650
52,18,Directed,383,6691
119,18,Directed,384,3025
80,18,Directed,385,2764
60,18,Directed,386,1901
38,18,Directed,387,551
34,18,Directed,388,542
93,18,Directed,389,445
141,18,Directed,390,306
83,18,Directed,391,247
81,18,Directed,392,47
2,18,Directed,393,45
104,18,Directed,394,35
78,18,Directed,395,35
129,18,Directed,396,30
129,19,Directed,397,19972
176,19,Directed,398,17244
128,19,Directed,399,9802
44,19,Directed,400,7735
70,19,Directed,401,5747
28,19,Directed,402,1240
114,19,Directed,403,726
145,19,Directed,404,537
66,19,Directed,405,506
36,19,Directed,406,367
150,20,Directed,407,791522
183,20,Directed,408,261845
96,20,Directed,409,81148
108,20,Directed,410,18380
186,20,Directed,411,17154
12,20,Directed,412,15651
103,20,Directed,413,11085
69,20,Directed,414,9868
120,20,Directed,415,8826
9,20,Directed,416,6645
174,20,Directed,417,6587
180,20,Directed,418,6339
98,20,Directed,419,6071
61,20,Directed,420,3429
64,20,Directed,421,1185
141,20,Directed,422,340
82,20,Directed,423,291
139,20,Directed,424,235
91,20,Directed,425,192
169,20,Directed,426,190
189,20,Directed,427,182
72,20,Directed,428,164
0,20,Directed,429,140
48,20,Directed,430,130
42,20,Directed,431,97
122,20,Directed,432,96
34,20,Directed,433,85
143,20,Directed,434,83
8,20,Directed,435,76
25,20,Directed,436,69
38,21,Directed,437,72413
83,21,Directed,438,41093
133,21,Directed,439,5171
14,21,Directed,440,1370
8,22,Directed,441,21923
25,22,Directed,442,10558
119,22,Directed,443,8125
138,22,Directed,444,7138
37,22,Directed,445,4807
60,22,Directed,446,3078
34,22,Directed,447,1765
57,22,Directed,448,1644
94,22,Directed,449,1401
2,22,Directed,450,1351
137,22,Directed,451,1173
18,22,Directed,452,991
92,22,Directed,453,883
38,22,Directed,454,805
40,22,Directed,455,651
141,22,Directed,456,580
43,22,Directed,457,555
66,22,Directed,458,491
185,22,Directed,459,402
188,22,Directed,460,369
170,22,Directed,461,325
50,22,Directed,462,299
17,22,Directed,463,268
80,22,Directed,464,232
169,22,Directed,465,200
139,22,Directed,466,193
11,22,Directed,467,170
73,22,Directed,468,146
143,22,Directed,469,129
83,22,Directed,470,125
46,23,Directed,471,21218
158,23,Directed,472,16974
55,23,Directed,473,4681
56,23,Directed,474,2796
144,23,Directed,475,2468
2,23,Directed,476,816
149,23,Directed,477,624
11,23,Directed,478,310
150,23,Directed,479,271
66,23,Directed,480,259
82,23,Directed,481,233
92,23,Directed,482,165
166,24,Directed,483,5780
193,24,Directed,484,4905
141,24,Directed,485,3289
192,24,Directed,486,1991
83,24,Directed,487,1967
38,24,Directed,488,874
112,24,Directed,489,713
60,24,Directed,490,603
4,24,Directed,491,551
146,24,Directed,492,526
102,24,Directed,493,505
173,24,Directed,494,460
164,24,Directed,495,398
2,24,Directed,496,332
184,24,Directed,497,295
117,24,Directed,498,292
124,24,Directed,499,286
79,24,Directed,500,188
87,24,Directed,501,185
123,24,Directed,502,184
92,24,Directed,503,161
133,24,Directed,504,145
140,24,Directed,505,137
169,24,Directed,506,129
97,24,Directed,507,122
10,24,Directed,508,120
130,24,Directed,509,116
34,24,Directed,510,112
165,24,Directed,511,108
129,24,Directed,512,108
140,25,Directed,513,274924
94,25,Directed,514,86768
92,25,Directed,515,70081
57,25,Directed,516,59188
8,25,Directed,517,28350
2,25,Directed,518,25679
185,25,Directed,519,23363
37,25,Directed,520,22243
137,25,Directed,521,21394
104,25,Directed,522,17987
22,25,Directed,523,15996
139,25,Directed,524,13225
60,25,Directed,525,11806
150,25,Directed,526,11249
38,25,Directed,527,8532
66,25,Directed,528,8096
149,25,Directed,529,6604
138,25,Directed,530,5716
82,25,Directed,531,5282
4,25,Directed,532,4868
11,25,Directed,533,4756
162,25,Directed,534,4434
51,25,Directed,535,4192
141,25,Directed,536,3849
79,25,Directed,537,3535
72,25,Directed,538,3523
170,25,Directed,539,2886
40,25,Directed,540,2223
91,25,Directed,541,2137
17,25,Directed,542,1887
111,26,Directed,543,40306
63,26,Directed,544,7837
172,26,Directed,545,6612
126,26,Directed,546,3665
84,26,Directed,547,3324
83,26,Directed,548,2595
141,26,Directed,549,1996
38,26,Directed,550,1509
161,26,Directed,551,1499
164,26,Directed,552,676
14,26,Directed,553,659
81,26,Directed,554,382
133,26,Directed,555,378
10,26,Directed,556,262
79,26,Directed,557,247
43,26,Directed,558,138
131,26,Directed,559,119
60,26,Directed,560,113
94,26,Directed,561,83
150,27,Directed,562,6899
183,27,Directed,563,1671
72,27,Directed,564,1246
9,27,Directed,565,1207
144,27,Directed,566,1018
181,27,Directed,567,743
120,27,Directed,568,582
158,27,Directed,569,562
162,27,Directed,570,473
139,27,Directed,571,423
38,27,Directed,572,362
189,27,Directed,573,346
104,27,Directed,574,266
2,27,Directed,575,252
0,27,Directed,576,222
85,27,Directed,577,171
83,27,Directed,578,163
143,27,Directed,579,162
149,27,Directed,580,143
60,27,Directed,581,139
92,27,Directed,582,113
1,27,Directed,583,103
39,27,Directed,584,103
86,27,Directed,585,98
96,27,Directed,586,89
20,27,Directed,587,89
95,27,Directed,588,83
69,27,Directed,589,77
82,27,Directed,590,70
66,27,Directed,591,63
44,28,Directed,592,243776
114,28,Directed,593,37576
70,28,Directed,594,24542
128,28,Directed,595,8275
176,28,Directed,596,6131
129,28,Directed,597,2542
19,28,Directed,598,2054
157,28,Directed,599,1983
148,29,Directed,600,221943
146,29,Directed,601,36654
173,29,Directed,602,11912
184,29,Directed,603,1833
17,29,Directed,604,642
66,29,Directed,605,321
97,29,Directed,606,186
83,30,Directed,607,20841
38,30,Directed,608,422
126,30,Directed,609,334
60,30,Directed,610,63
94,30,Directed,611,59
172,30,Directed,612,28
14,30,Directed,613,24
48,30,Directed,614,18
34,30,Directed,615,17
141,30,Directed,616,17
21,30,Directed,617,16
164,30,Directed,618,15
43,30,Directed,619,15
66,30,Directed,620,14
10,30,Directed,621,12
2,30,Directed,622,12
170,30,Directed,623,11
131,30,Directed,624,11
169,30,Directed,625,11
133,30,Directed,626,10
63,30,Directed,627,9
79,30,Directed,628,9
161,30,Directed,629,8
92,30,Directed,630,6
156,31,Directed,631,2475
4,31,Directed,632,1588
140,31,Directed,633,1132
76,31,Directed,634,539
92,31,Directed,635,201
60,31,Directed,636,188
157,31,Directed,637,141
66,31,Directed,638,102
129,31,Directed,639,84
25,31,Directed,640,77
47,31,Directed,641,69
79,31,Directed,642,62
74,31,Directed,643,60
70,31,Directed,644,55
150,31,Directed,645,55
123,31,Directed,646,51
57,31,Directed,647,30
38,31,Directed,648,30
183,31,Directed,649,28
2,31,Directed,650,25
160,31,Directed,651,19
170,31,Directed,652,18
141,31,Directed,653,14
17,31,Directed,654,14
175,31,Directed,655,11
67,31,Directed,656,11
114,31,Directed,657,9
44,31,Directed,658,9
68,31,Directed,659,7
8,31,Directed,660,5
189,32,Directed,661,16771
172,32,Directed,662,14149
38,32,Directed,663,707
66,32,Directed,664,128
101,32,Directed,665,121
60,32,Directed,666,91
111,32,Directed,667,80
63,32,Directed,668,71
94,32,Directed,669,58
161,32,Directed,670,57
10,32,Directed,671,54
81,32,Directed,672,54
84,32,Directed,673,49
83,32,Directed,674,44
141,32,Directed,675,43
43,32,Directed,676,26
21,32,Directed,677,24
164,32,Directed,678,22
126,32,Directed,679,21
42,32,Directed,680,20
34,32,Directed,681,20
133,32,Directed,682,19
2,32,Directed,683,18
79,32,Directed,684,14
150,32,Directed,685,14
92,32,Directed,686,7
129,33,Directed,687,105140
36,33,Directed,688,95527
66,33,Directed,689,11808
4,33,Directed,690,0
141,34,Directed,691,688691
92,34,Directed,692,337392
60,34,Directed,693,238998
81,34,Directed,694,230328
139,34,Directed,695,177219
2,34,Directed,696,173222
38,34,Directed,697,168079
83,34,Directed,698,166640
140,34,Directed,699,154655
79,34,Directed,700,124373
63,34,Directed,701,118304
189,34,Directed,702,108997
93,34,Directed,703,98288
150,34,Directed,704,95333
72,34,Directed,705,80288
77,34,Directed,706,63381
82,34,Directed,707,54702
66,34,Directed,708,52932
104,34,Directed,709,52394
183,34,Directed,710,50845
178,34,Directed,711,47386
78,34,Directed,712,38271
149,34,Directed,713,32422
43,34,Directed,714,31722
86,34,Directed,715,29467
87,34,Directed,716,27255
52,34,Directed,717,27145
51,34,Directed,718,26881
11,34,Directed,719,25600
23,34,Directed,720,25135
84,35,Directed,721,108178
53,35,Directed,722,39178
63,35,Directed,723,37462
14,35,Directed,724,36556
6,35,Directed,725,14187
95,35,Directed,726,10999
190,35,Directed,727,10506
36,35,Directed,728,10484
58,35,Directed,729,7574
100,35,Directed,730,6155
167,35,Directed,731,3178
104,35,Directed,732,3090
141,35,Directed,733,2886
83,35,Directed,734,2738
181,35,Directed,735,2308
172,35,Directed,736,1377
116,35,Directed,737,1300
164,35,Directed,738,932
62,35,Directed,739,908
60,35,Directed,740,809
54,35,Directed,741,639
168,35,Directed,742,608
162,35,Directed,743,526
126,35,Directed,744,459
79,35,Directed,745,407
0,35,Directed,746,384
133,35,Directed,747,334
129,35,Directed,748,311
179,35,Directed,749,277
51,35,Directed,750,250
33,36,Directed,751,30992
129,36,Directed,752,14822
167,36,Directed,753,9529
142,36,Directed,754,8067
128,36,Directed,755,2614
106,36,Directed,756,1096
66,36,Directed,757,886
145,36,Directed,758,715
67,36,Directed,759,292
146,36,Directed,760,98
8,37,Directed,761,32696
57,37,Directed,762,9710
22,37,Directed,763,7277
138,37,Directed,764,7052
60,37,Directed,765,5650
2,37,Directed,766,5379
92,37,Directed,767,4422
25,37,Directed,768,4332
188,37,Directed,769,2349
50,37,Directed,770,2163
66,37,Directed,771,2147
40,37,Directed,772,1554
141,37,Directed,773,1428
185,37,Directed,774,1393
91,37,Directed,775,1367
38,37,Directed,776,1124
34,37,Directed,777,1051
17,37,Directed,778,1013
119,37,Directed,779,746
169,37,Directed,780,731
170,37,Directed,781,696
10,37,Directed,782,675
43,37,Directed,783,663
94,37,Directed,784,645
137,37,Directed,785,641
11,37,Directed,786,594
47,37,Directed,787,518
82,37,Directed,788,498
139,37,Directed,789,465
79,37,Directed,790,462
43,38,Directed,791,148141
63,38,Directed,792,28155
84,38,Directed,793,21305
189,38,Directed,794,18063
60,38,Directed,795,16962
25,38,Directed,796,12090
172,38,Directed,797,5839
141,38,Directed,798,4737
94,38,Directed,799,4547
83,38,Directed,800,4496
34,38,Directed,801,3756
111,38,Directed,802,3195
164,38,Directed,803,3026
81,38,Directed,804,2458
10,38,Directed,805,2417
138,38,Directed,806,2202
14,38,Directed,807,1858
133,38,Directed,808,1817
150,38,Directed,809,1080
141,39,Directed,810,9055
72,39,Directed,811,5898
69,39,Directed,812,3802
150,39,Directed,813,3235
164,39,Directed,814,2457
63,39,Directed,815,1793
27,39,Directed,816,1531
149,39,Directed,817,1345
51,39,Directed,818,1290
166,39,Directed,819,1235
183,39,Directed,820,815
162,39,Directed,821,810
60,39,Directed,822,791
10,39,Directed,823,741
104,39,Directed,824,685
83,39,Directed,825,684
2,39,Directed,826,646
158,39,Directed,827,630
38,39,Directed,828,398
34,39,Directed,829,374
86,39,Directed,830,299
9,39,Directed,831,292
120,39,Directed,832,234
66,39,Directed,833,228
169,39,Directed,834,227
87,39,Directed,835,193
139,39,Directed,836,176
146,39,Directed,837,170
143,39,Directed,838,168
14,39,Directed,839,162
188,40,Directed,840,33123
60,40,Directed,841,13478
50,40,Directed,842,11870
57,40,Directed,843,5631
138,40,Directed,844,2896
2,40,Directed,845,2679
92,40,Directed,846,2660
8,40,Directed,847,2359
135,40,Directed,848,2073
119,40,Directed,849,1908
66,40,Directed,850,1905
37,40,Directed,851,1859
25,40,Directed,852,1728
47,40,Directed,853,1296
162,40,Directed,854,1238
38,40,Directed,855,1233
104,40,Directed,856,1078
141,40,Directed,857,991
45,40,Directed,858,691
34,40,Directed,859,682
170,40,Directed,860,663
22,40,Directed,861,634
91,40,Directed,862,605
94,40,Directed,863,515
139,40,Directed,864,495
150,40,Directed,865,493
127,40,Directed,866,470
149,40,Directed,867,458
79,40,Directed,868,425
17,40,Directed,869,377
110,41,Directed,870,10810
66,41,Directed,871,543
173,41,Directed,872,163
97,41,Directed,873,87
38,42,Directed,874,19668
43,42,Directed,875,5873
63,42,Directed,876,1116
84,42,Directed,877,845
189,42,Directed,878,716
60,42,Directed,879,672
25,42,Directed,880,479
172,42,Directed,881,232
141,42,Directed,882,188
94,42,Directed,883,180
83,42,Directed,884,178
34,42,Directed,885,149
111,42,Directed,886,127
