"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Turquía","1.586.121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Italia","486.516"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Serbia","428.334"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Grecia","337.546"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Polonia","248.610"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Austria","189.349"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Rumanía","176.920"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Croacia","150.313"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","España","142.457"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Holanda","116.092"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Bosnia y Herzegovina","108.349"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Reino Unido","103.961"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Estados Unidos","99.835"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Irán","95.723"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Portugal","92.782"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Francia","89.386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Rusia","77.318"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Marruecos","72.631"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Vietnam","69.594"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Hungría","50.833"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Líbano","45.648"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Sri Lanka","38.618"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","República de Macedonia","35.938"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Afganistán","33.279"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Suiza","33.253"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","India","31.877"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","República Checa","27.873"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Túnez","27.234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990","Bulgaria","27.077"
