"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","España","27.103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Francia","4.135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Portugal","3.957"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Reino Unido","1.043"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Alemania","347"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Marruecos","296"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Bélgica","241"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Holanda","190"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Filipinas","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Italia","109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Estados Unidos","100"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Argentina","86"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Dinamarca","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Uruguay","78"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Chile","68"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Suiza","64"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Suecia","54"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990","Australia","36"
