"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","República Democrática del Congo","12.178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Portugal","5.298"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Cabo Verde","3.569"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Santo Tomé y Príncipe","3.112"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Sudáfrica","2.437"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","República del Congo","410"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Namibia","345"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Guinea","131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Zambia","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Mozambique","97"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Ruanda","46"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Chad","12"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990","Costa de Marfil","5"
