"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Dominica","2.442"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Guyana","1.660"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Estados Unidos","1.308"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Reino Unido","623"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","República Dominicana","621"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","San Vicente y las Granadinas","478"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","San Cristóbal y Nieves","469"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Santa Lucía","392"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Jamaica","386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Trinidad y Tobago","356"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Canadá","218"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Barbados","204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Siria","142"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Granada","115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","China","57"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Italia","49"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Líbano","46"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Alemania","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Nigeria","35"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Francia","32"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","India","32"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Sudáfrica","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Holanda","17"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Egipto","12"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Cuba","12"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Venezuela","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Haiti","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Ghana","10"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Surinam","9"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990","Belice","8"
