"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","India","906.468"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Indonesia","635.007"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Pakistán","556.715"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Bangladés","479.380"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Egipto","357.540"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Siria","305.838"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Yemen","286.032"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Filipinas","239.551"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Sri Lanka","200.579"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Sudán","178.769"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Nepal","177.661"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Afganistán","166.255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Jordania","90.278"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Birmania - Myanmar","89.529"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Etiopía","61.017"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Líbano","57.203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990","Irak","42.857"
