"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Estado de Palestina","36.004"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Sudán","9.127"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Alemania","6.544"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Rusia","6.287"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Estados Unidos","4.509"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Siria","3.550"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Italia","3.143"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Arabia Saudita","3.068"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Yemen","2.593"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Jordania","2.286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Francia","2.086"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Reino Unido","2.060"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Libia","1.982"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Malasia","1.651"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Líbano","1.564"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Kuwait","1.420"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Indonesia","1.000"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Somalia","926"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990","Irak","918"
