"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Reino Unido","1.111.203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Nueva Zelanda","298.309"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Italia","271.095"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Grecia","148.090"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Vietnam","136.918"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Alemania","126.452"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Holanda","104.866"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","China","97.526"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Filipinas","90.580"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Líbano","81.858"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Polonia","74.954"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Malasia","72.135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","India","69.928"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Sudáfrica","58.684"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Hong Kong","57.852"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Malta","57.407"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Estados Unidos","53.575"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Irlanda","51.999"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Croacia","48.565"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Sri Lanka","46.660"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Serbia","44.312"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","República de Macedonia","40.724"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Egipto","40.628"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Indonesia","39.102"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Fiyi","37.472"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Turquía","33.246"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Chile","29.145"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Hungría","29.103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Canadá","27.452"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990","Singapur","27.151"
