"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Serbia","107.506"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Alemania","100.832"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Bosnia y Herzegovina","92.349"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Turquía","88.108"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Croacia","43.774"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Polonia","33.851"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","República Checa","30.293"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Rumanía","24.968"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Italia","18.566"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Rusia","17.059"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Eslovaquia","14.965"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Hungría","14.405"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Eslovenia","12.724"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","República de Macedonia","12.075"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","China","9.703"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Suiza","8.704"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Bulgaria","8.666"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Irán","8.535"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Egipto","8.202"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Filipinas","7.633"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","India","7.478"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Estados Unidos","6.088"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Reino Unido","6.067"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Francia","4.939"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Afganistán","4.748"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Nigeria","4.673"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Holanda","4.668"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Ucrania","4.534"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990","Tailandia","3.088"
