"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Armenia","202.586"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Georgia","69.766"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Rusia","39.234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Uzbekistán","23.232"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Kazajistán","4.940"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Ucrania","3.842"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Kirguistán","3.487"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Turquía","2.894"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Turkmenistán","2.352"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Irán","2.088"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Estonia","662"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Bielorrusia","626"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Alemania","389"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Moldavia","386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Tayikistán","340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990","Afganistán","254"
