"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","San Vicente y las Granadinas","3.676"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Santa Lucía","3.317"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Reino Unido","2.988"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Guyana","2.557"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Trinidad y Tobago","1.750"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Estados Unidos","1.112"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Canadá","668"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Jamaica","622"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Granada","565"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Dominica","451"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","India","441"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Antigua y Barbuda","226"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Bahamas","55"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Australia","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Haiti","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","China","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Belice","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Cuba","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","Surinam","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990","San Cristóbal y Nieves","0"
