"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","India","60.505"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Egipto","21.908"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Pakistán","20.949"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Bangladés","20.442"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Filipinas","7.934"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Indonesia","6.151"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Yemen","5.876"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Sri Lanka","5.863"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Sudán","4.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Jordania","3.442"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Siria","1.777"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Kuwait","1.728"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Reino Unido","1.614"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Estado de Palestina","1.531"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Turquía","1.291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Emiratos Árabes Unidos","771"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Líbano","728"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Sudán del Sur","522"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Eritrea","508"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Estados Unidos","453"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Etiopía","357"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Somalia","340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Tailandia","294"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Marruecos","257"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Nepal","228"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Afganistán","215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Nigeria","187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Holanda","174"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Túnez","155"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990","Chad","140"
