"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Argentina","21.923"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Brasil","10.558"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","México","8.125"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Perú","7.138"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Chile","4.807"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Estados Unidos","3.078"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Canadá","1.765"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","España","1.644"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Japón","1.401"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Alemania","1.351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Paraguay","1.173"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Belice","991"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Italia","883"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","China","805"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Colombia","651"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Reino Unido","580"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Corea del Sur","555"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Francia","491"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Uruguay","402"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Venezuela","369"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Suiza","325"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Ecuador","299"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Bélgica","268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Honduras","232"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Suecia","200"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Polonia","193"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Austria","170"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","Guatemala","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","República Checa","129"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990","India","125"
