"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Croacia","21.218"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Serbia","16.974"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Eslovaquia","4.681"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Eslovenia","2.796"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","República de Macedonia","2.468"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Alemania","816"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Rumanía","624"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Austria","310"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Rusia","271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Francia","259"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Hungría","233"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990","Italia","165"
