"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Portugal","274.924"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Japón","86.768"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Italia","70.081"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","España","59.188"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Argentina","28.350"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Alemania","25.679"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Uruguay","23.363"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Chile","22.243"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Paraguay","21.394"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Líbano","17.987"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Bolivia","15.996"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Polonia","13.225"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Estados Unidos","11.806"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Rusia","11.249"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","China","8.532"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Francia","8.096"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Rumanía","6.604"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Perú","5.716"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Hungría","5.282"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Angola","4.868"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Austria","4.756"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Siria","4.434"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Egipto","4.192"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Reino Unido","3.849"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Holanda","3.535"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Grecia","3.523"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Suiza","2.886"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Colombia","2.223"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Israel","2.137"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990","Bélgica","1.887"
