"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Malasia","40.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Filipinas","7.837"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Tailandia","6.612"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Nepal","3.665"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Indonesia","3.324"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","India","2.595"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Reino Unido","1.996"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","China","1.509"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Singapur","1.499"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Sri Lanka","676"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Bangladés","659"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Hong Kong","382"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Pakistán","378"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Australia","262"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Holanda","247"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Corea del Sur","138"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Nueva Zelanda","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Estados Unidos","113"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990","Japón","83"
