"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Rusia","6.899"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Ucrania","1.671"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Grecia","1.246"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Armenia","1.207"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","República de Macedonia","1.018"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Turquía","743"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Moldavia","582"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Serbia","562"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Siria","473"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Polonia","423"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","China","362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Vietnam","346"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Líbano","266"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Alemania","252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Afganistán","222"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Irak","171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","India","163"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","República Checa","162"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Rumanía","143"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Estados Unidos","139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Italia","113"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Albania","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Chipre","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Irán","98"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Kazajistán","89"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Bielorrusia","89"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Jordania","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Georgia","77"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Hungría","70"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990","Francia","63"
