"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Santo Tomé y Príncipe","2.475"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Angola","1.588"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Portugal","1.132"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Guinea-Bisáu","539"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Italia","201"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Estados Unidos","188"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Senegal","141"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Francia","102"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Nigeria","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Brasil","77"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Cuba","69"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Holanda","62"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Guinea","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Ghana","55"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Rusia","55"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Mozambique","51"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","España","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","China","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Ucrania","28"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Alemania","25"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Sierra Leona","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Suiza","18"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Reino Unido","14"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Bélgica","14"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Timor Oriental","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Gabón","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Malí","9"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Costa de Marfil","9"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Gambia","7"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990","Argentina","5"
