"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Reino Unido","688.691"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Italia","337.392"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Estados Unidos","238.998"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Hong Kong","230.328"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Polonia","177.219"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Alemania","173.222"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","China","168.079"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","India","166.640"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Portugal","154.655"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Holanda","124.373"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Filipinas","118.304"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Vietnam","108.997"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Jamaica","98.288"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Rusia","95.333"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Grecia","80.288"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Guyana","63.381"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Hungría","54.702"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Francia","52.932"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Líbano","52.394"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Ucrania","50.845"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Trinidad y Tobago","47.386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Haiti","38.271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Rumanía","32.422"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Corea del Sur","31.722"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Irán","29.467"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Irlanda","27.255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","El Salvador","27.145"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Egipto","26.881"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Austria","25.600"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990","Bosnia y Herzegovina","25.135"
