"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","Camerún","30.992"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","Nigeria","14.822"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","Sudán","9.529"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","República Centroafricana","8.067"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","Níger","2.614"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","Libia","1.096"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","Francia","886"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","República del Congo","715"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","Gabón","292"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990","República Democrática del Congo","98"
