"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Argentina","32.696"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","España","9.710"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Bolivia","7.277"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Perú","7.052"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Estados Unidos","5.650"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Alemania","5.379"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Italia","4.422"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Brasil","4.332"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Venezuela","2.349"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Ecuador","2.163"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Francia","2.147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Colombia","1.554"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Reino Unido","1.428"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Uruguay","1.393"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Israel","1.367"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","China","1.124"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Canadá","1.051"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Bélgica","1.013"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","México","746"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Suecia","731"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Suiza","696"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Australia","675"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Corea del Sur","663"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Japón","645"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Paraguay","641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Austria","594"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Cuba","518"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Hungría","498"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Polonia","465"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990","Holanda","462"
