"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Reino Unido","9.055"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Grecia","5.898"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Georgia","3.802"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Rusia","3.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Sri Lanka","2.457"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Filipinas","1.793"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Bulgaria","1.531"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Rumanía","1.345"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Egipto","1.290"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Sudáfrica","1.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Ucrania","815"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Siria","810"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Estados Unidos","791"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Australia","741"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Líbano","685"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","India","684"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Alemania","646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Serbia","630"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","China","398"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Canadá","374"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Irán","299"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Armenia","292"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Moldavia","234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Francia","228"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Suecia","227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Irlanda","193"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Polonia","176"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","República Democrática del Congo","170"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","República Checa","168"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990","Bangladés","162"
