"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","China","19.827"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Estados Unidos","11.713"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Japón","4.447"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Bangladés","658"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Alemania","645"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Reino Unido","559"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Canadá","513"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Francia","507"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Filipinas","482"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Australia","315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Pakistán","269"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Vietnam","215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","India","136"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Mongolia","112"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Kazajistán","97"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Birmania - Myanmar","88"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Indonesia","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Sri Lanka","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Malasia","51"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Tailandia","43"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Nueva Zelanda","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Rusia","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Uzbekistán","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Nepal","10"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Camboya","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Kirguistán","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Nigeria","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990","Sudáfrica","0"
