"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Nicaragua","99.153"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","El Salvador","56.257"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Panamá","8.692"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Estados Unidos","8.586"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Cuba","4.504"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Colombia","4.372"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Honduras","2.608"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Perú","2.225"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","México","2.081"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Guatemala","1.977"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","España","1.829"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Hong Kong","1.504"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Chile","1.490"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Italia","1.408"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Alemania","1.268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Argentina","1.041"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Venezuela","1.030"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Canadá","810"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Ecuador","736"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","República Dominicana","553"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Francia","539"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Rusia","519"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Reino Unido","451"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Suiza","388"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Holanda","381"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Jamaica","356"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Brasil","346"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Polonia","329"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Bolivia","269"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990","Uruguay","252"
