"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Alemania","22.533"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Turquía","19.476"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Bosnia y Herzegovina","16.411"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Suecia","15.641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Noruega","12.613"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Reino Unido","9.126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Polonia","8.085"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Irán","8.022"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Líbano","7.758"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Pakistán","6.946"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Corea del Sur","6.527"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Estados Unidos","6.411"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Serbia","5.700"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Vietnam","5.087"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Sri Lanka","5.014"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Finlandia","3.180"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Marruecos","3.004"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Islandia","2.986"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","India","2.604"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Francia","2.451"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Irak","2.418"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Holanda","2.389"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Italia","2.203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Canadá","2.175"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Filipinas","1.972"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Tailandia","1.958"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Rusia","1.595"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","España","1.525"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990","Suiza","1.388"
