"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Colombia","40.238"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Estados Unidos","8.595"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Chile","5.302"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Perú","2.567"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Venezuela","2.549"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","España","2.013"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Argentina","1.669"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Alemania","1.397"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Italia","1.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Cuba","998"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Brasil","968"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Canadá","806"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Reino Unido","719"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Francia","686"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","México","656"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","China","654"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Suiza","654"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Bolivia","509"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Rusia","498"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Panamá","321"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Uruguay","320"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Costa Rica","313"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Bélgica","285"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Holanda","276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Corea del Sur","270"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Japón","245"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Austria","182"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Israel","174"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","El Salvador","174"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990","Corea del Norte","162"
