"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Honduras","15.774"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Guatemala","8.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Estados Unidos","8.033"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Nicaragua","3.893"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","México","2.457"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Costa Rica","1.558"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","España","855"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Panamá","557"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Canadá","508"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Alemania","464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Italia","391"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Colombia","386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Chile","380"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Brasil","329"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","China","260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Venezuela","258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Argentina","255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Perú","246"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Belice","244"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Corea del Sur","208"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Francia","200"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Israel","177"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Ecuador","155"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Reino Unido","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Uruguay","120"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Bélgica","95"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Suiza","87"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Cuba","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Estado de Palestina","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990","Bolivia","73"
