"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","India","458.294"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Egipto","165.980"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Pakistán","158.710"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Bangladés","154.869"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Filipinas","60.107"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Indonesia","46.598"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Yemen","44.514"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Sri Lanka","44.420"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Sudán","32.088"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Jordania","26.078"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Siria","13.462"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Kuwait","13.095"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Reino Unido","12.229"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Estado de Palestina","11.602"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Turquía","9.781"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Líbano","5.513"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Sudán del Sur","3.951"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Eritrea","3.846"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Estados Unidos","3.431"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Etiopía","2.708"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Somalia","2.578"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Tailandia","2.228"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Marruecos","1.948"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Nepal","1.730"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Afganistán","1.630"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Nigeria","1.417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Holanda","1.320"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Túnez","1.175"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Chad","1.063"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990","Arabia Saudita","465"
