"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Mozambique","3.537"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Somalia","1.438"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Etiopía","1.284"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Ruanda","991"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Sudán del Sur","933"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Burundi","618"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","República Democrática del Congo","407"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Angola","247"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Tanzania","218"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Kenia","187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Uganda","175"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Sudán","131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Malaui","114"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Francia","108"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Sudáfrica","97"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Zambia","91"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Zimbabue","82"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","India","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Reino Unido","34"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","Comoras","27"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990","China","8"
