"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","República Checa","26.268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Hungría","6.010"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Ucrania","2.619"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Polonia","1.207"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Rumanía","1.115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Rusia","622"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Francia","484"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Serbia","383"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Bulgaria","362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Estados Unidos","290"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Austria","281"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Alemania","255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Vietnam","241"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Croacia","95"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Bélgica","62"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Bielorrusia","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","República de Macedonia","54"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","China","49"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Bosnia y Herzegovina","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Italia","41"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Canadá","40"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Siria","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Armenia","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Reino Unido","34"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Afganistán","26"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Cuba","23"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Kazajistán","21"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Argentina","20"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Australia","18"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990","Suiza","18"
