"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Bosnia y Herzegovina","68.549"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Croacia","48.018"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Serbia","24.825"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Alemania","8.402"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","República de Macedonia","6.720"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Italia","4.654"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Austria","4.461"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Francia","1.408"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Suiza","798"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Estados Unidos","734"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","República Checa","396"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Hungría","385"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Canadá","274"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Holanda","261"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Bélgica","250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Suecia","248"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Australia","226"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Rusia","171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","España","128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Argentina","92"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Ucrania","89"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Reino Unido","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Bulgaria","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Rumanía","63"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Polonia","62"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","China","61"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Grecia","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Eslovaquia","35"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990","Luxemburgo","29"
