"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Marruecos","133.341"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Francia","100.111"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Alemania","80.772"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Reino Unido","61.463"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Argentina","42.923"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Portugal","35.909"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Suiza","32.884"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Venezuela","32.469"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Cuba","21.854"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Perú","18.828"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Bélgica","16.881"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","República Dominicana","15.160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Holanda","13.912"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Brasil","13.454"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Colombia","12.548"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Italia","12.204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Estados Unidos","12.187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Chile","11.887"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Argelia","11.518"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Uruguay","10.922"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","México","9.649"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Filipinas","8.682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","China","8.432"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Guinea Ecuatorial","6.040"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Suecia","5.755"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Polonia","4.206"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","India","4.147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Ecuador","3.734"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Dinamarca","3.729"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990","Senegal","3.334"
