"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Israel","98.290"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Jordania","55.317"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Arabia Saudita","21.258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Egipto","17.920"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Kuwait","16.702"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Emiratos Árabes Unidos","10.629"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Catar","9.870"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Omán","9.110"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Estados Unidos","8.436"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Baréin","8.351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Siria","5.224"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Líbano","2.342"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Yemen","1.486"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990","Túnez","850"
