"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","China","5.181"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Estados Federados de Micronesia","4.940"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Kiribati","1.278"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Nauru","921"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Tuvalu","693"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Fiyi","485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Bangladés","434"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Palaos","378"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Vietnam","352"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Australia","266"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Estados Unidos","234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Filipinas","170"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Nepal","156"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Islas Marshall","126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Nueva Zelanda","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Japón","66"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Corea del Sur","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Islas Salomón","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Reino Unido","23"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Samoa","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Hong Kong","8"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Tonga","7"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Holanda","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Noruega","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Omán","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Portugal","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Polonia","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Pakistán","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Estado de Palestina","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990","Papúa Nueva Guinea","0"
