"url","Pases","In Migrant Es"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","México","4.298.014"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Filipinas","912.674"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","China","773.939"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Canadá","744.830"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Cuba","736.971"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Alemania","711.929"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Reino Unido","640.145"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Italia","580.592"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Corea del Sur","568.397"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Vietnam","543.262"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","El Salvador","465.433"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","India","450.406"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Polonia","388.328"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","República Dominicana","347.858"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Jamaica","334.140"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Japón","290.128"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Colombia","286.124"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Guatemala","225.739"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Haiti","225.393"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Irán","210.941"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Portugal","210.122"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Rusia","190.654"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Grecia","177.398"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Laos","171.577"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Irlanda","169.827"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Nicaragua","168.659"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Ucrania","154.211"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Hong Kong","147.131"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Perú","144.199"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/usa?anio=1990","Ecuador","143.314"
