"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Somalia","616.940"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Sudán del Sur","384.266"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Eritrea","69.681"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Sudán","53.857"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Yibuti","904"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Uganda","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Ruanda","71"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Yemen","68"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","República Democrática del Congo","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990","Burundi","19"
