"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Suecia","26.043"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Rusia","10.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Alemania","2.586"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Estados Unidos","2.545"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Reino Unido","1.738"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Vietnam","1.645"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Polonia","1.027"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Canadá","960"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Noruega","904"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Dinamarca","559"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Irán","558"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Hungría","554"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","India","549"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Francia","538"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Italia","504"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","España","502"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Turquía","457"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Australia","452"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Suiza","434"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","China","428"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Holanda","414"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Marruecos","412"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Tailandia","411"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Japón","372"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Israel","350"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Grecia","320"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Filipinas","299"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Bulgaria","274"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","República Checa","260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990","Austria","253"
