"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","India","1.443"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Bangladés","1.368"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Australia","1.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Pakistán","1.294"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Tonga","1.221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Nueva Zelanda","1.211"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","China","848"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Reino Unido","759"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Kiribati","710"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Islas Salomón","646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Tuvalu","378"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Samoa","271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990","Vanuatu","170"
