"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Argelia","788.914"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Portugal","781.382"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Marruecos","713.987"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Italia","521.793"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","España","433.748"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Túnez","276.216"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Turquía","241.148"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Alemania","171.594"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Polonia","135.061"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Bélgica","127.976"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Reino Unido","102.335"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Vietnam","99.095"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","República de Macedonia","74.534"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Senegal","73.801"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Camboya","69.234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Suiza","60.882"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Laos","50.300"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Malí","49.299"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","República del Congo","48.395"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","China","41.681"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Costa de Marfil","40.942"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Estados Unidos","40.260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Madagascar","38.740"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Líbano","38.599"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Mauricio","38.101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Camerún","36.846"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Holanda","34.420"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Sri Lanka","33.041"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","República Democrática del Congo","32.512"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990","Rumanía","31.928"
