"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Guinea Ecuatorial","26.839"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Malí","17.028"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Benín","16.115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Camerún","15.636"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Senegal","9.416"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Nigeria","7.381"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Togo","7.105"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","República del Congo","5.037"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Francia","4.961"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","República Democrática del Congo","2.750"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Burkina Faso","2.158"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Santo Tomé y Príncipe","2.009"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Ghana","1.965"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Guinea","1.537"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Chad","1.396"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Costa de Marfil","1.048"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Líbano","772"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Angola","342"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Marruecos","221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Estados Unidos","169"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Bélgica","154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","China","107"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Canadá","90"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Túnez","69"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Ruanda","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Corea del Sur","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Burundi","52"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Corea del Norte","50"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Argelia","34"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990","Alemania","27"
