"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Rusia","151.090"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Ucrania","46.581"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Kazajistán","21.017"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Bielorrusia","16.521"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Uzbekistán","10.078"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Alemania","8.348"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Azerbaiyán","7.911"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Moldavia","4.413"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Armenia","4.039"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Polonia","3.794"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Lituania","3.623"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Kirguistán","3.360"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Tayikistán","3.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Turkmenistán","1.609"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Letonia","1.382"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Estonia","846"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Corea del Sur","798"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Turquía","455"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Corea del Norte","438"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","China","421"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990","Rumanía","390"
