"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Togo","61.553"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Burkina Faso","41.668"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Nigeria","14.876"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Liberia","9.824"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Benín","8.959"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Costa de Marfil","4.902"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Níger","4.229"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Malí","3.592"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Reino Unido","972"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Líbano","525"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","India","454"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Estados Unidos","437"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Ruanda","268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Canadá","147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Holanda","131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Italia","123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","China","121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Sierra Leona","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Francia","117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Suiza","104"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Guinea","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Camerún","61"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Senegal","53"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Pakistán","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Rusia","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Siria","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Polonia","34"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Japón","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Israel","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990","Egipto","21"
