"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Trinidad y Tobago","1.647"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","San Vicente y las Granadinas","325"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Guyana","324"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Barbados","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Santa Lucía","92"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Canadá","85"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Jamaica","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Venezuela","43"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Dominica","42"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Antigua y Barbuda","22"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","Bahamas","17"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990","San Cristóbal y Nieves","9"
