"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","El Salvador","236.655"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Estados Unidos","5.822"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","México","5.402"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Honduras","4.768"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Nicaragua","3.726"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","España","944"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Costa Rica","758"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Belice","543"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Colombia","490"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Alemania","476"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Italia","325"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","China","307"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Francia","294"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Corea del Sur","290"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Argentina","285"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Cuba","275"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Canadá","272"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Chile","271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Panamá","242"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Perú","210"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Suiza","151"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Reino Unido","125"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Ecuador","120"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Venezuela","113"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Uruguay","95"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Japón","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Holanda","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Brasil","77"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Paraguay","72"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990","Bolivia","67"
