"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Liberia","342.691"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Sierra Leona","15.985"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Malí","15.549"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Senegal","6.770"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Guinea-Bisáu","2.798"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Costa de Marfil","2.472"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Benín","2.351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Francia","1.642"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Togo","1.468"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Níger","1.393"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Ghana","1.337"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Nigeria","910"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Líbano","852"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Alemania","849"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Gambia","811"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Arabia Saudita","682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Estados Unidos","552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Burkina Faso","479"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Rusia","478"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Mauritania","384"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Canadá","297"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Brasil","248"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Portugal","237"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Bélgica","207"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Corea del Sur","138"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","China","134"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Italia","102"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Cabo Verde","98"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Ucrania","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990","Cuba","61"
