"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Senegal","5.053"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Liberia","3.906"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Guinea","3.170"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Gambia","960"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Portugal","528"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Mauritania","359"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Cabo Verde","355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Estados Unidos","200"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Sierra Leona","87"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Francia","71"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990","Canadá","37"
