"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Surinam","1.047"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Brasil","485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Venezuela","478"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Santa Lucía","286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Estados Unidos","285"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","China","263"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Trinidad y Tobago","189"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Barbados","156"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Reino Unido","131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","San Vicente y las Granadinas","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Canadá","92"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Jamaica","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Granada","54"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Dominica","13"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Antigua y Barbuda","5"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990","Bahamas","4"
