"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Venezuela","2.510"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","República Dominicana","2.406"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Estados Unidos","1.607"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","España","1.297"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Italia","1.227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Cuba","1.203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Alemania","896"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Colombia","828"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Canadá","628"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Argentina","466"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Francia","445"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Suiza","377"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Perú","351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","China","348"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Chile","333"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","México","306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Uruguay","286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Costa Rica","274"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Japón","221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990","Austria","170"
