"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","China","1.659.157"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Indonesia","90.186"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Filipinas","79.010"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Tailandia","12.860"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","India","12.064"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Reino Unido","11.838"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Malasia","10.234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Japón","9.505"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Canadá","8.414"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Estados Unidos","7.599"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Vietnam","7.324"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Singapur","6.619"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Nepal","6.254"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Australia","6.092"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Pakistán","5.062"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Corea del Sur","3.238"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Nueva Zelanda","1.506"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Francia","1.470"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Alemania","1.323"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Holanda","683"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Sri Lanka","524"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Suiza","487"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Irlanda","466"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Italia","430"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Bangladés","297"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","España","269"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Portugal","73"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990","Rusia","59"
