"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Bangladés","4.375.155"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Pakistán","1.921.278"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Nepal","518.212"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Sri Lanka","281.720"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Birmania - Myanmar","85.706"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","China","18.165"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Kuwait","16.860"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Brunéi","16.220"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Afganistán","14.159"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Malasia","12.295"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Bután","11.088"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Emiratos Árabes Unidos","9.940"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Singapur","9.307"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Kenia","8.170"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Canadá","6.474"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Arabia Saudita","6.058"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Francia","5.858"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Alemania","5.654"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Estados Unidos","5.649"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Reino Unido","5.063"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Rusia","3.445"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Australia","3.116"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Irán","3.051"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Vietnam","2.832"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Mauricio","2.547"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Fiyi","2.385"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Uganda","2.058"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Maldivas","1.810"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Indonesia","1.786"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990","Kazajistán","1.408"
