"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Dinamarca","2.048"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Estados Unidos","1.077"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Suecia","1.012"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Alemania","803"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Noruega","683"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Reino Unido","647"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Serbia","312"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Polonia","265"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Canadá","145"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Filipinas","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Francia","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Holanda","112"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","España","105"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Tayikistán","97"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Nueva Zelanda","86"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Tailandia","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Sri Lanka","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Irlanda","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Vietnam","76"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Finlandia","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Sudáfrica","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","India","62"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Australia","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Indonesia","59"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","China","58"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Suiza","53"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Luxemburgo","53"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Austria","52"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","Portugal","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990","República Checa","43"
