"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Papúa Nueva Guinea","1.110"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Kiribati","991"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Australia","360"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","China","241"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Fiyi","220"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Filipinas","147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Nueva Zelanda","141"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Estados Unidos","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Malasia","133"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Japón","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Indonesia","85"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Reino Unido","85"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Corea del Sur","38"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990","Vanuatu","9"
