"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Marruecos","169.285"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Alemania","96.165"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","República de Macedonia","72.688"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Túnez","70.813"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Francia","66.902"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Filipinas","65.197"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Estados Unidos","63.755"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Reino Unido","59.492"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Senegal","44.973"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Albania","44.937"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Suiza","43.544"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Rumanía","40.066"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Egipto","40.045"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","China","32.172"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Argentina","31.345"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","España","26.557"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Brasil","25.441"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Ghana","25.093"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Polonia","24.516"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Sri Lanka","19.974"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Grecia","19.876"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Irán","19.096"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Serbia","17.845"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Holanda","17.068"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Etiopía","16.703"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Austria","16.037"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Bélgica","14.298"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Japón","13.179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Perú","12.843"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990","Nigeria","11.859"
