"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Corea del Sur","688.141"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","China","150.383"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Brasil","56.445"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Filipinas","49.106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Estados Unidos","38.375"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Perú","10.282"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Reino Unido","10.209"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Tailandia","6.726"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Vietnam","6.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Canadá","4.910"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Malasia","4.684"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Australia","3.976"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Indonesia","3.624"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Alemania","3.607"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Francia","3.167"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","India","3.108"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Argentina","2.657"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Bangladés","2.110"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Pakistán","2.068"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Nueva Zelanda","1.275"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Irán","1.237"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Sri Lanka","1.206"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Singapur","1.194"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Camboya","1.171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Suiza","980"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Italia","940"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","España","856"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","México","786"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Holanda","749"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990","Irlanda","671"
