"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Rusia","2.474.111"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Alemania","380.407"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Ucrania","356.063"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Uzbekistán","131.905"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Bielorrusia","72.545"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Corea del Sur","41.045"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Azerbaiyán","35.789"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Polonia","23.820"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Corea del Norte","19.805"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Turquía","19.692"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Grecia","18.571"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Moldavia","13.149"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Armenia","7.596"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Kirguistán","5.606"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Tayikistán","5.085"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Lituania","4.347"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Bulgaria","4.142"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Georgia","3.773"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","China","695"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Letonia","358"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Estonia","358"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990","Turkmenistán","338"
