"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Uganda","83.355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Tanzania","66.464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Etiopía","26.695"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Somalia","7.875"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Sudán del Sur","5.801"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Ruanda","3.874"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Mozambique","1.043"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Sudán","814"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","República Democrática del Congo","394"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Sudáfrica","197"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Namibia","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Burundi","99"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990","Eritrea","0"
