"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Rusia","349.174"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Ucrania","85.115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Kazajistán","38.405"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Bielorrusia","30.187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Uzbekistán","18.416"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Alemania","15.254"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Azerbaiyán","14.455"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Georgia","10.351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Moldavia","8.066"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Armenia","7.381"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Polonia","6.934"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Lituania","6.622"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Tayikistán","6.041"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Turkmenistán","2.941"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Letonia","2.526"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Estonia","1.544"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Corea del Sur","1.459"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Turquía","833"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Corea del Norte","800"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","China","770"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Rumanía","713"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Vietnam","372"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990","Finlandia","361"
