"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","India","375.183"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Egipto","135.880"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Pakistán","129.928"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Bangladés","126.783"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Filipinas","49.207"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Indonesia","38.147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Yemen","36.441"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Sri Lanka","36.364"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Sudán","29.503"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Jordania","21.348"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Siria","11.021"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Reino Unido","10.010"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Estado de Palestina","9.497"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Turquía","8.007"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Emiratos Árabes Unidos","4.778"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Líbano","4.513"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Eritrea","3.148"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Estados Unidos","2.808"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Etiopía","2.216"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Somalia","2.111"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Tailandia","1.823"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Marruecos","1.594"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Nepal","1.416"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Afganistán","1.334"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Nigeria","1.160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Holanda","1.080"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Túnez","961"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Chad","870"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Arabia Saudita","380"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990","Francia","355"
