"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Rusia","473.207"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Bielorrusia","60.530"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Ucrania","46.572"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Polonia","30.550"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Lituania","17.512"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Rumanía","3.562"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Alemania","1.913"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Estonia","1.675"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Moldavia","1.629"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Armenia","1.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Azerbaiyán","1.399"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Finlandia","1.199"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Georgia","697"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Kirguistán","593"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Kazajistán","528"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Bulgaria","390"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Grecia","326"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Uzbekistán","309"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Hungría","293"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Corea del Norte","204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Estados Unidos","167"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Suecia","128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Reino Unido","117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Mongolia","87"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Austria","50"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","República Checa","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Tayikistán","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Australia","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Líbano","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990","Canadá","42"
