"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Guinea","32.485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Ghana","9.952"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Sierra Leona","7.943"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Líbano","4.230"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Estados Unidos","2.959"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Nigeria","2.393"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Guinea-Bisáu","2.263"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Costa de Marfil","2.182"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Malí","1.970"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Reino Unido","1.146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Níger","1.127"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Suecia","1.120"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Alemania","928"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","India","774"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Gambia","656"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Burkina Faso","388"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Holanda","298"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Francia","296"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","España","286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Italia","252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Togo","250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Canadá","247"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Senegal","243"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Suiza","148"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990","Benín","63"
