"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Estado de Palestina","152.266"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Sudán","38.599"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Alemania","27.674"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Rusia","26.586"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Estados Unidos","19.067"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Siria","15.014"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Italia","13.295"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Arabia Saudita","12.976"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Yemen","10.956"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Jordania","9.668"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Francia","8.821"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Reino Unido","8.712"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Egipto","8.384"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Malasia","6.980"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Líbano","6.615"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Kuwait","6.005"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Suiza","5.069"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Sudán del Sur","4.753"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Indonesia","4.228"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Japón","4.156"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Somalia","3.917"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Irak","3.879"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Grecia","3.730"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Holanda","3.048"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Tailandia","2.762"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","India","2.288"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Turquía","2.197"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Austria","2.044"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Filipinas","1.929"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990","Bélgica","1.918"
