"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Portugal","30.614"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Francia","14.367"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Alemania","12.616"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Italia","12.479"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Bélgica","11.205"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Serbia","4.602"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Holanda","3.092"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Reino Unido","2.355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Bosnia y Herzegovina","2.334"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","República de Macedonia","1.957"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","España","1.911"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Dinamarca","1.263"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Cabo Verde","1.148"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Estados Unidos","1.098"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","China","1.017"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Polonia","722"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Suiza","646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Grecia","636"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Austria","512"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Suecia","456"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Irlanda","412"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Croacia","400"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Rusia","377"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Japón","336"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Albania","290"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Brasil","288"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Islandia","259"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Finlandia","243"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990","Canadá","229"
