"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Mozambique","1.075.410"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Zambia","5.637"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Zimbabue","3.851"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Tanzania","3.279"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Ruanda","2.249"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","India","1.362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","República Democrática del Congo","1.338"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Sudáfrica","1.276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Reino Unido","769"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","República del Congo","735"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Burundi","705"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990","Somalia","211"
