"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Costa de Marfil","48.556"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Burkina Faso","23.024"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Guinea","19.164"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Mauritania","14.942"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Senegal","12.899"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Gabón","4.463"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","República del Congo","4.022"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Níger","3.571"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Francia","2.689"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Ghana","1.913"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Nigeria","1.590"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Sierra Leona","1.227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Togo","893"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Gambia","595"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Camerún","592"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Liberia","586"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Benín","542"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Rusia","384"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Argelia","380"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","China","301"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","República Centroafricana","283"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Estados Unidos","233"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990","Angola","70"
